counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.839,0,,,,,,382,NW,"ID",16,sarley,SARLEY,z,0.839,,,,,,0.169444444,-0.001851852,0,0,0,,0,53,53,321,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.715,1,,,,,,406,NW,"ID",16,nouply,NOUPLY,z,0.715,,,,,,0.169444444,-0.001851852,0,0,0,,0,54,54,345,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.804,0,,,,,,435,NW,UN,33,frutan,IMPURB,z,0.804,,,,,,0.169444444,-0.001851852,0,0,0,,0,55,55,374,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.768,1,,,,,,356,NW,"ID",33,othnis,OTHNIS,z,0.768,,,,,,0.169444444,-0.001851852,0,0,0,,0,56,56,295,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.776,1,,,,,,60,WORD,UN,16,fright,PENCIL,m,0.776,,,,,,0.169444444,-0.001851852,0,0,0,,0,57,57,239,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.035,1,,,,,,332,NW,"ID",33,vangue,VANGUE,z,1.035,,,,,,0.169444444,-0.001851852,0,0,0,,0,58,58,271,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.887,1,,,,,,264,NW,UN,16,distar,VACKEL,z,0.887,,,,,,0.169444444,-0.001851852,0,0,0,,0,59,59,443,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.762,1,,,,,,470,NW,UN,33,nobest,CRUDIO,z,0.762,,,,,,0.169444444,-0.001851852,0,0,0,,0,60,60,409,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.659,0,,,,,,456,NW,UN,33,wanigh,BROGET,z,0.659,,,,,,0.169444444,-0.001851852,0,0,0,,0,61,61,395,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.664,1,,,,,,1,WORD,UN,16,ethnic,FRIGHT,m,0.664,,,,,,0.169444444,-0.001851852,0,0,0,,0,62,62,180,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.766,0,,,,,,129,WORD,"ID",16,marvel,MARVEL,m,0.766,,,,,,0.169444444,-0.001851852,0,0,0,,0,63,63,68,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.863,1,,,,,,300,NW,UN,16,smenco,YARION,z,0.863,,,,,,0.169444444,-0.001851852,0,0,0,,0,64,64,479,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.704,1,,,,,,226,WORD,UN,33,flower,CASINO,m,0.704,,,,,,0.169444444,-0.001851852,0,0,0,,0,65,65,165,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.69,1,,,,,,91,WORD,"ID",33,expand,EXPAND,m,0.69,,,,,,0.169444444,-0.001851852,0,0,0,,0,66,66,30,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.781,0,,,,,,171,WORD,"ID",16,depart,DEPART,m,0.781,,,,,,0.169444444,-0.001851852,0,0,0,,0,67,67,110,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.786,1,,,,,,5,WORD,UN,16,bundle,PLUNGE,m,0.786,,,,,,0.169444444,-0.001851852,0,0,0,,0,68,68,184,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.759,1,,,,,,49,WORD,UN,16,snatch,SURVEY,m,0.759,,,,,,0.169444444,-0.001851852,0,0,0,,0,69,69,228,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.786,1,,,,,,287,NW,UN,16,yaceup,NYMBEL,z,0.786,,,,,,0.169444444,-0.001851852,0,0,0,,0,70,70,466,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.783,1,,,,,,199,WORD,UN,33,plague,INVOKE,m,0.783,,,,,,0.169444444,-0.001851852,0,0,0,,0,71,71,138,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.659,0,,,,,,192,WORD,UN,33,object,PLAGUE,m,0.659,,,,,,0.169444444,-0.001851852,0,0,0,,0,72,72,131,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.695,0,,,,,,323,NW,"ID",33,rosail,ROSAIL,z,0.695,,,,,,0.169444444,-0.001851852,0,0,0,,0,73,73,262,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.833,1,,,,,,42,WORD,UN,16,tongue,CHAPEL,m,0.833,,,,,,0.169444444,-0.001851852,0,0,0,,0,74,74,221,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.713,0,,,,,,206,WORD,UN,33,wreath,TAILOR,m,0.713,,,,,,0.169444444,-0.001851852,0,0,0,,0,75,75,145,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.832,1,,,,,,195,WORD,UN,33,credit,RESIGN,m,0.832,,,,,,0.169444444,-0.001851852,0,0,0,,0,76,76,134,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.932,0,,,,,,390,NW,"ID",16,hatrus,HATRUS,z,0.932,,,,,,0.169444444,-0.001851852,0,0,0,,0,77,77,329,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.745,1,,,,,,311,NW,"ID",33,sproly,SPROLY,z,0.745,,,,,,0.169444444,-0.001851852,0,0,0,,0,78,78,250,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.796,1,,,,,,157,WORD,"ID",16,dragon,DRAGON,m,0.796,,,,,,0.169444444,-0.001851852,0,0,0,,0,79,79,96,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.718,1,,,,,,43,WORD,UN,16,foster,TONGUE,m,0.718,,,,,,0.169444444,-0.001851852,0,0,0,,0,80,80,222,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.81,0,,,,,,302,NW,"ID",33,miluer,MILUER,z,0.81,,,,,,0.169444444,-0.001851852,0,0,0,,0,81,81,241,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.547,1,,,,,,339,NW,"ID",33,fachow,FACHOW,z,0.547,,,,,,0.169444444,-0.001851852,0,0,0,,0,82,82,278,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.06,0,,,,,,434,NW,UN,33,impurb,PITROM,z,1.06,,,,,,0.169444444,-0.001851852,0,0,0,,0,83,83,373,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.693,1,,,,,,45,WORD,UN,16,single,CLERGY,m,0.693,,,,,,0.169444444,-0.001851852,0,0,0,,0,84,84,224,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.371,1,,,,,,276,NW,UN,16,petain,YARMON,z,0.371,,,,,,0.169444444,-0.001851852,0,0,0,,0,85,85,455,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.506,0,,,,,,81,WORD,"ID",33,friend,FRIEND,m,0.506,,,,,,0.169444444,-0.001851852,0,0,0,,0,86,86,20,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.496,0,,,,,,386,NW,"ID",16,ancust,ANCUST,z,0.496,,,,,,0.169444444,-0.001851852,0,0,0,,0,87,87,325,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.658,1,,,,,,210,WORD,UN,33,infect,MONKEY,m,0.658,,,,,,0.169444444,-0.001851852,0,0,0,,0,88,88,149,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.634,1,,,,,,144,WORD,"ID",16,sponge,SPONGE,m,0.634,,,,,,0.169444444,-0.001851852,0,0,0,,0,89,89,83,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.849,0,,,,,,474,NW,UN,33,acrise,HABLIN,z,0.849,,,,,,0.169444444,-0.001851852,0,0,0,,0,90,90,413,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.748,1,,,,,,277,NW,UN,16,unighs,PETAIN,z,0.748,,,,,,0.169444444,-0.001851852,0,0,0,,0,91,91,456,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.013,0,,,,,,464,NW,UN,33,whivex,CHAITE,z,1.013,,,,,,0.169444444,-0.001851852,0,0,0,,0,92,92,403,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.81,1,,,,,,345,NW,"ID",33,absend,ABSEND,z,0.81,,,,,,0.169444444,-0.001851852,0,0,0,,0,93,93,284,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.872,0,,,,,,320,NW,"ID",33,jockal,JOCKAL,z,0.872,,,,,,0.169444444,-0.001851852,0,0,0,,0,94,94,259,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.869,1,,,,,,364,NW,"ID",16,impote,IMPOTE,z,0.869,,,,,,0.169444444,-0.001851852,0,0,0,,0,95,95,303,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.637,0,,,,,,26,WORD,UN,16,butler,SPRINT,m,0.637,,,,,,0.169444444,-0.001851852,0,0,0,,0,96,96,205,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.785,0,,,,,,423,NW,UN,33,praile,STRELD,z,0.785,,,,,,0.169444444,-0.001851852,0,0,0,,0,97,97,362,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.105,1,,,,,,252,NW,UN,16,resait,STAPOD,z,1.105,,,,,,0.169444444,-0.001851852,0,0,0,,0,98,98,431,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.722,0,,,,,,442,NW,UN,33,dorsex,ABOUNE,z,0.722,,,,,,0.169444444,-0.001851852,0,0,0,,0,99,99,381,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.958,1,,,,,,471,NW,UN,33,cigney,NOBEST,z,0.958,,,,,,0.169444444,-0.001851852,0,0,0,,0,100,100,410,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.534,1,,,,,,74,WORD,"ID",33,plaque,PLAQUE,m,0.534,,,,,,0.169444444,-0.001851852,0,0,0,,0,101,101,13,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.614,0,,,,,,259,NW,UN,16,unject,SOUDAL,z,0.614,,,,,,0.169444444,-0.001851852,0,0,0,,0,102,102,438,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.814,1,,,,,,4,WORD,UN,16,plunge,TRENCH,m,0.814,,,,,,0.169444444,-0.001851852,0,0,0,,0,103,103,183,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.395,1,,,,,,412,NW,"ID",16,jiluer,JILUER,z,0.395,,,,,,0.169444444,-0.001851852,0,0,0,,0,104,104,351,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,1.001,1,,,,,,68,WORD,"ID",33,fumble,FUMBLE,m,1.001,,,,,,0.169444444,-0.001851852,0,0,0,,0,105,105,7,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.605,0,,,,,,251,NW,UN,16,stapod,LUPICT,z,0.605,,,,,,0.169444444,-0.001851852,0,0,0,,0,106,106,430,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.555,0,,,,,,222,WORD,UN,33,export,HINDER,m,0.555,,,,,,0.169444444,-0.001851852,0,0,0,,0,107,107,161,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.504,1,,,,,,78,WORD,"ID",33,column,COLUMN,m,0.504,,,,,,0.169444444,-0.001851852,0,0,0,,0,108,108,17,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.605,0,,,,,,293,NW,UN,16,inhort,SWANCE,z,0.605,,,,,,0.169444444,-0.001851852,0,0,0,,0,109,109,472,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.658,0,,,,,,480,NW,UN,33,knisma,ROBULY,z,0.658,,,,,,0.169444444,-0.001851852,0,0,0,,0,110,110,419,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.736,1,,,,,,184,WORD,UN,33,bother,SLEAZY,m,0.736,,,,,,0.169444444,-0.001851852,0,0,0,,0,111,111,123,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.516,1,,,,,,301,NW,"ID",33,fainch,FAINCH,z,0.516,,,,,,0.169444444,-0.001851852,0,0,0,,0,112,112,240,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.745,0,,,,,,469,NW,UN,33,crudio,PADIFS,z,0.745,,,,,,0.169444444,-0.001851852,0,0,0,,0,113,113,408,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.801,1,,,,,,22,WORD,UN,16,wealth,JOCKEY,m,0.801,,,,,,0.169444444,-0.001851852,0,0,0,,0,114,114,201,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.814,0,,,,,,219,WORD,UN,33,voyage,BUCKET,m,0.814,,,,,,0.169444444,-0.001851852,0,0,0,,0,115,115,158,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.774,0,,,,,,344,NW,"ID",33,scrily,SCRILY,z,0.774,,,,,,0.169444444,-0.001851852,0,0,0,,0,116,116,283,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.867,1,,,,,,463,NW,UN,33,chaite,KISPEL,z,0.867,,,,,,0.169444444,-0.001851852,0,0,0,,0,117,117,402,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.832,0,,,,,,336,NW,"ID",33,ghodus,GHODUS,z,0.832,,,,,,0.169444444,-0.001851852,0,0,0,,0,118,118,275,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.748,1,,,,,,156,WORD,"ID",16,cradle,CRADLE,m,0.748,,,,,,0.169444444,-0.001851852,0,0,0,,0,119,119,95,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.904,1,,,,,,154,WORD,"ID",16,author,AUTHOR,m,0.904,,,,,,0.072222222,-0.141666667,0,0,0,space,0,120,120,93,1,110.704
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,1.007,0,,,,,,59,WORD,UN,16,pencil,SPLINT,m,1.007,,,,,,0.072222222,-0.141666667,0,0,0,,0,121,121,238,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.67,1,,,,,,288,NW,UN,16,starby,YACEUP,z,0.67,,,,,,0.072222222,-0.141666667,0,0,0,,0,122,122,467,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,0.67,-1,,,,,,79,WORD,"ID",33,theory,THEORY,m,,,,,,,0.072222222,-0.141666667,0,0,0,,0,123,123,18,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.753,0,,,,,,397,NW,"ID",16,camble,CAMBLE,z,0.753,,,,,,0.072222222,-0.141666667,0,0,0,,0,124,124,336,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.148,1,,,,,,342,NW,"ID",33,randow,RANDOW,z,1.148,,,,,,0.072222222,-0.141666667,0,0,0,,0,125,125,281,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.017,1,,,,,,358,NW,"ID",33,fleack,FLEACK,z,1.017,,,,,,0.072222222,-0.141666667,0,0,0,,0,126,126,297,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.933,0,,,,,,443,NW,UN,33,jaunce,DORSEX,z,0.933,,,,,,0.072222222,-0.141666667,0,0,0,,0,127,127,382,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.918,0,,,,,,133,WORD,"ID",16,chrome,CHROME,m,0.918,,,,,,0.072222222,-0.141666667,0,0,0,,0,128,128,72,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.818,1,,,,,,140,WORD,"ID",16,prince,PRINCE,m,0.818,,,,,,0.072222222,-0.141666667,0,0,0,,0,129,129,79,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.111,1,,,,,,459,NW,UN,33,mingar,BAFENT,z,1.111,,,,,,0.072222222,-0.141666667,0,0,0,,0,130,130,398,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.901,0,,,,,,317,NW,"ID",33,worbal,WORBAL,z,0.901,,,,,,0.072222222,-0.141666667,0,0,0,,0,131,131,256,1,
