instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.312455,,,,,,,,0.312455,1,0,7,7,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.416165,,,,,,,,0.416165,1,0,8,8,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.35832,,,,,,,,0.35832,0,0,9,9,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,0.21138,,,,,,,,0.21138,1,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,0.70735,,,,,,,,0.70735,0,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.240775,,,,,,,,0.240775,0,0,12,12,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.1368,,,,,,,,0.1368,0,0,13,13,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.254425,,,,,,,,0.254425,0,0,14,14,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.490945,,,,,,,,0.490945,1,0,15,15,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,,,,,,,,,,,,,,
,0.089814815,-0.366666667,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.490945,-1,,,,,,68,WORD,"ID",33,fumble,FUMBLE,l,,,,,,0.008333333,-0.415740741,1,0,0,break_done_button,,0,0,0,7,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.315740741,-0.271296296,1,0,0,1.2176,button_right,1.2176,0,,,,,,427,NW,UN,33,tandly,SCHIND,a,,,,,,0.036111111,-0.374074074,1,0,0,break_done_button,,0,1,1,366,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.32037037,-0.291666667,1,0,0,0.530365,button_right,0.530365,0,,,,,,410,NW,"ID",50,tunory,TUNORY,a,,,,,,0.00462963,-0.434259259,1,0,0,break_done_button,,0,2,2,349,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.317592593,-0.292592593,1,0,0,0.23742,button_right,0.23742,1,,,,,,170,WORD,"ID",50,pounce,POUNCE,l,,,,,,0.078703704,-0.394444444,1,0,0,break_done_button,,0,3,3,109,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.328703704,-0.292592593,1,0,0,0.24933,button_right,0.24933,0,,,,,,249,NW,UN,50,milted,BATROL,a,,,,,,0.023148148,-0.407407407,1,0,0,break_done_button,,0,4,4,428,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.293518519,-0.300925926,1,0,0,0.637305,button_right,0.637305,0,,,,,,287,NW,UN,50,yaceup,NYMBEL,a,,,,,,-0.058333333,-0.384259259,1,0,0,break_done_button,,0,5,5,466,1,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.283333333,-0.267592593,1,0,0,0.305835,button_right,0.305835,0,,,,,,173,WORD,"ID",50,shower,SHOWER,l,,,,,,,,,,,,,1,0,480,112,1,479
