instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,break_done_keyboard.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.549755,1,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,a,0.549755,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.662155,1,0,8,8,2,1,1003,WORD,"ID",50,almond,ALMOND,l,0.662155,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.568645,0,0,9,9,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,0.568645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.27149,0,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,a,0.27149,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.358635,1,0,11,11,14,1,1015,NW,UN,50,miaber,THRALE,a,0.358635,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.28011,0,0,12,12,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,0.28011,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.31087,1,0,13,13,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,0.31087,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.885215,0,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,a,0.885215,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.490275,0,0,15,15,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,0.490275,,,,,,,,,,,,,,,,,
,0.097222222,-0.410185185,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.490275,-1,,,,,,50,WORD,UN,50,hungry,SNATCH,l,,,,,,,-0.099074074,-0.441666667,0,0,0,space,314.386465,0,0,0,229,1
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.35,-0.32962963,1,0,0,0.742385,button_right,0.742385,0,,,,,,351,NW,"ID",33,tiesch,TIESCH,a,,,,,,,-0.008333333,-0.407407407,0,0,0,space,2.539765,0,1,1,290,1
