instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.38682,0,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,a,0.38682,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.323485,1,0,8,8,10,1,1011,NW,"ID",50,inlade,INLADE,a,0.323485,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.305535,0,0,9,9,14,1,1015,NW,UN,50,miaber,THRALE,a,0.305535,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.19332,0,0,10,10,2,1,1003,WORD,"ID",50,almond,ALMOND,l,0.19332,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.332095,0,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,0.332095,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.27981,1,0,12,12,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,0.27981,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.02499,0,0,13,13,12,1,1013,NW,UN,33,adveil,SPRINY,a,0.02499,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.11077,0,0,14,14,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,0.11077,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.40699,0,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,a,0.40699,,,,,,,,,,,,,,,,,,
,0.137962963,-0.399074074,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.17288,1,,,,,,379,NW,"ID",50,auting,AUTING,a,0.17288,,,,,,0.009259259,-0.400925926,1,0,0,break_done_button,,0,0,0,318,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.58128,0,,,,,,183,WORD,UN,33,sleazy,MILDEW,l,0.58128,,,,,,0.148148148,-0.34537037,0,0,0,,,0,1,1,122,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.463795,1,,,,,,381,NW,"ID",50,huniek,HUNIEK,a,0.463795,,,,,,0.234259259,-0.343518519,0,0,0,,,0,2,2,320,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.498785,0,,,,,,225,WORD,UN,33,casino,VULGAR,l,0.498785,,,,,,0.201851852,-0.32962963,0,0,0,,,0,3,3,164,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.477275,0,,,,,,94,WORD,"ID",33,travel,TRAVEL,l,0.477275,,,,,,0.192592593,-0.324074074,0,0,0,,,0,4,4,33,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.400585,1,,,,,,340,NW,"ID",33,fiatch,FIATCH,a,0.400585,,,,,,0.083333333,-0.4,1,0,0,break_done_button,,0,5,5,279,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.366905,0,,,,,,209,WORD,UN,33,monkey,SEARCH,l,0.366905,,,,,,0.07037037,-0.332407407,0,0,0,,,0,6,6,148,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.3238,1,,,,,,388,NW,"ID",50,cragin,CRAGIN,a,0.3238,,,,,,0.07037037,-0.332407407,0,0,0,,,0,7,7,327,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.302395,1,,,,,,327,NW,"ID",33,plenac,PLENAC,a,0.302395,,,,,,0.07037037,-0.332407407,0,0,0,,,0,8,8,266,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.281285,1,,,,,,423,NW,UN,33,praile,STRELD,a,0.281285,,,,,,0.07037037,-0.332407407,0,0,0,,,0,9,9,362,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.26383,1,,,,,,331,NW,"ID",33,gilfew,GILFEW,a,0.26383,,,,,,0.056481481,-0.418518519,1,0,0,break_done_button,,0,10,10,270,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.302925,0,,,,,,125,WORD,"ID",50,nickel,NICKEL,l,0.302925,,,,,,0.034259259,-0.261111111,0,0,0,,,0,11,11,64,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.21975,1,,,,,,473,NW,UN,33,hablin,CRIBLE,a,0.21975,,,,,,0.034259259,-0.261111111,0,0,0,,,0,12,12,412,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.262815,0,,,,,,200,WORD,UN,33,admire,BEACON,l,0.262815,,,,,,0.034259259,-0.261111111,0,0,0,,,0,13,13,139,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.153375,1,,,,,,306,NW,"ID",33,sounge,SOUNGE,a,0.153375,,,,,,0.034259259,-0.261111111,0,0,0,,,0,14,14,245,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.218325,0,,,,,,220,WORD,UN,33,mascot,VOYAGE,l,0.218325,,,,,,0.025925926,-0.409259259,1,0,0,break_done_button,,0,15,15,159,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.216635,1,,,,,,281,NW,UN,50,porlex,MELATY,a,0.216635,,,,,,0.025,-0.292592593,0,0,0,,,0,16,16,460,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.13089,0,,,,,,70,WORD,"ID",33,square,SQUARE,l,0.13089,,,,,,0.025,-0.292592593,0,0,0,,,0,17,17,9,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.131215,0,,,,,,11,WORD,UN,50,amount,CRUISE,l,0.131215,,,,,,0.025,-0.292592593,0,0,0,,,0,18,18,190,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.15335,0,,,,,,224,WORD,UN,33,vulgar,PERIOD,l,0.15335,,,,,,0.025,-0.292592593,0,0,0,,,0,19,19,163,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.14935,0,,,,,,68,WORD,"ID",33,fumble,FUMBLE,l,0.14935,,,,,,0.021296296,-0.374074074,1,0,0,break_done_button,,0,20,20,7,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.22067,1,,,,,,432,NW,UN,33,drance,LUNKER,a,0.22067,,,,,,-0.028703704,-0.190740741,0,0,0,,,0,21,21,371,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.10919,0,,,,,,117,WORD,"ID",33,branch,BRANCH,l,0.10919,,,,,,-0.025,-0.193518519,0,0,0,,,0,22,22,56,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.176,0,,,,,,26,WORD,UN,50,butler,SPRINT,l,0.176,,,,,,-0.025,-0.193518519,0,0,0,,,0,23,23,205,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,,,,,,,,0.15464,1,,,,,,415,NW,"ID",50,higsta,HIGSTA,a,0.15464,,,,,,-0.025,-0.193518519,0,0,0,,,0,24,24,354,1,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.127775,0,,,,,,108,WORD,"ID",33,reckon,RECKON,l,0.127775,,,,,,,,,,,,,1,0,480,47,1,479
