counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.337962963,-0.289814815,1,0,0,1.015,button_left,1.015,1,0,6,6,12,1,1013,NW,UN,33,adveil,SPRINY,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.308333333,-0.285185185,1,0,0,0.531,button_left,0.531,1,0,7,7,14,1,1015,NW,UN,50,miaber,THRALE,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.391666667,-0.281481481,1,0,0,0.58,button_left,0.58,1,0,8,8,11,1,1012,NW,"ID",50,rashet,RASHET,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.389814815,-0.283333333,1,0,0,0.516,button_left,0.516,0,0,9,9,1,1,1002,WORD,"ID",33,adjust,ADJUST,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.440740741,-0.348148148,1,0,0,0.298,button_right,0.298,0,0,10,10,10,1,1011,NW,"ID",50,inlade,INLADE,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.417592593,-0.306481481,1,0,0,0.198,button_left,0.198,0,0,11,11,3,1,1004,WORD,"ID",50,matrix,MATRIX,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.252777778,-0.303703704,1,0,0,0.249,button_right,0.249,0,0,12,12,8,1,1009,NW,"ID",33,aslert,ASLERT,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.239814815,-0.275925926,1,0,0,0.164,button_left,0.164,0,0,13,13,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,0.438888889,-0.291666667,1,0,0,0.831,button_right,0.831,1,0,14,14,4,1,1005,WORD,UN,33,abound,SQUEAK,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.831,-1,0,15,15,9,1,1010,NW,"ID",33,fariny,FARINY,z
