instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_touch.clicked_name,trials.order
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.240740741,-0.287037037,1,0,0,1.905955,button_right,1.905955,0,,,,,,320,NW,"ID",33,jockal,JOCKAL,a,,,,,,0.062962963,-0.407407407,1,0,0,,0,1,1,259,1,break_done_button,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.339814815,-0.335185185,1,0,0,0.270025,button_right,0.270025,0,,,,,,332,NW,"ID",33,vangue,VANGUE,a,,,,,,0.339814815,-0.335185185,1,0,0,,0,2,2,271,1,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.337037037,-0.335185185,1,0,0,0.338455,button_right,0.338455,1,,,,,,5,WORD,UN,50,bundle,PLUNGE,l,,,,,,0.04537037,-0.401851852,1,0,0,,0,3,3,184,1,break_done_button,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.287962963,-0.308333333,1,0,0,0.902415,button_right,0.902415,1,,,,,,70,WORD,"ID",33,square,SQUARE,l,,,,,,0.287962963,-0.308333333,1,0,0,,0,4,4,9,1,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.287962963,-0.308333333,1,0,0,0.09347,button_right,0.09347,0,,,,,,276,NW,UN,50,petain,YARMON,a,,,,,,0.100925926,-0.39537037,1,0,0,,0,5,5,455,1,break_done_button,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.317592593,-0.284259259,1,0,0,0.34586,button_right,0.34586,0,,,,,,270,NW,UN,50,aubrid,WRIMSY,a,,,,,,0.317592593,-0.284259259,1,0,0,,0,6,6,449,1,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.312037037,-0.286111111,1,0,0,0.241745,button_right,0.241745,0,,,,,,294,NW,UN,50,gleath,INHORT,a,,,,,,0.048148148,-0.400925926,1,0,0,,0,7,7,473,1,break_done_button,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.287962963,-0.305555556,1,0,0,0.756905,button_right,0.756905,0,,,,,,399,NW,"ID",50,fouret,FOURET,a,,,,,,0.287962963,-0.305555556,1,0,0,,0,8,8,338,1,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.287962963,-0.305555556,1,0,0,0.12975,button_right,0.12975,1,,,,,,107,WORD,"ID",33,slogan,SLOGAN,l,,,,,,-0.03751234,-0.373642646,1,0,0,,0,9,9,46,1,break_done_button,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.397828233,-0.311451135,1,0,0,1.8136,button_right,1.8136,0,,,,,,374,NW,"ID",50,sliant,SLIANT,a,,,,,,0.397828233,-0.311451135,1,0,0,,0,10,10,313,1,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.8136,-1,,,,,,393,NW,"ID",50,ganous,GANOUS,a,,,,,,,,,,,,1,0,480,332,1,,479
