counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.334,,,,,,,,0.334,0,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.251,,,,,,,,0.251,0,0,7,7,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.604,,,,,,,,0.604,0,0,8,8,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.766,,,,,,,,0.766,1,0,9,9,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.381,,,,,,,,0.381,0,0,10,10,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.418,,,,,,,,0.418,1,0,11,11,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.266,,,,,,,,0.266,0,0,12,12,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.133,,,,,,,,0.133,0,0,13,13,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.016,,,,,,,,1.016,0,0,14,14,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.349,,,,,,,,0.349,0,0,15,15,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,space,-0.025925926,-0.385185185,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,8.028,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.384,,,,,,,,0.384,1,,,,,,363,NW,"ID",16,breali,BREALI,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,0,0,302,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.449,,,,,,,,0.449,0,,,,,,391,NW,"ID",16,theldy,THELDY,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,1,1,330,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.517,,,,,,,,0.517,0,,,,,,450,NW,UN,33,cainky,PHRECT,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,2,2,389,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.28,,,,,,,,0.28,0,,,,,,144,WORD,"ID",16,sponge,SPONGE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,3,3,83,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.567,,,,,,,,0.567,1,,,,,,57,WORD,UN,16,danger,CHANGE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,4,4,236,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.452,,,,,,,,0.452,0,,,,,,35,WORD,UN,16,vanish,SOCKET,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,5,5,214,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.465,,,,,,,,0.465,1,,,,,,154,WORD,"ID",16,author,AUTHOR,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,6,6,93,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.5,,,,,,,,0.5,0,,,,,,62,WORD,"ID",33,region,REGION,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,7,7,1,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.543,,,,,,,,0.543,0,,,,,,282,NW,UN,16,veralf,PORLEX,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,8,8,461,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.413,,,,,,,,0.413,0,,,,,,174,WORD,"ID",16,turkey,TURKEY,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,9,9,113,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.401,,,,,,,,0.401,1,,,,,,86,WORD,"ID",33,rodent,RODENT,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,10,10,25,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.433,,,,,,,,0.433,0,,,,,,216,WORD,UN,33,liquor,BEHALF,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,11,11,155,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.371,,,,,,,,0.371,0,,,,,,399,NW,"ID",16,fouret,FOURET,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,12,12,338,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.376,,,,,,,,0.376,1,,,,,,246,NW,UN,16,blarge,PIATON,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,13,13,425,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.425,,,,,,,,0.425,0,,,,,,266,NW,UN,16,pasink,VARMIT,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,14,14,445,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.403,,,,,,,,0.403,0,,,,,,170,WORD,"ID",16,pounce,POUNCE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,15,15,109,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.448,,,,,,,,1.448,1,,,,,,220,WORD,UN,33,mascot,VOYAGE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,16,16,159,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.488,,,,,,,,0.488,1,,,,,,96,WORD,"ID",33,ignore,IGNORE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,17,17,35,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.383,,,,,,,,0.383,0,,,,,,408,NW,"ID",16,hurnia,HURNIA,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,18,18,347,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.249,,,,,,,,0.249,1,,,,,,196,WORD,UN,33,stream,CREDIT,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,19,19,135,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.38,,,,,,,,0.38,1,,,,,,63,WORD,"ID",33,launch,LAUNCH,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,20,20,2,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.634,,,,,,,,0.634,1,,,,,,442,NW,UN,33,dorsex,ABOUNE,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,21,21,381,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.715,,,,,,,,0.715,1,,,,,,232,WORD,UN,33,nature,INJECT,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,22,22,171,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.735,,,,,,,,0.735,1,,,,,,370,NW,"ID",16,sleact,SLEACT,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,23,23,309,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.485,,,,,,,,0.485,1,,,,,,169,WORD,"ID",16,genius,GENIUS,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,24,24,108,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.801,,,,,,,,0.801,1,,,,,,113,WORD,"ID",33,chorus,CHORUS,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,25,25,52,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.499,,,,,,,,0.499,1,,,,,,87,WORD,"ID",33,filter,FILTER,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,26,26,26,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.319,,,,,,,,0.319,0,,,,,,404,NW,"ID",16,cluirm,CLUIRM,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,27,27,343,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.314,,,,,,,,0.314,1,,,,,,79,WORD,"ID",33,theory,THEORY,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,28,28,18,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.702,,,,,,,,0.702,1,,,,,,323,NW,"ID",33,rosail,ROSAIL,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,29,29,262,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.702,-1,,,,,,423,NW,UN,33,praile,STRELD,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,30,30,362,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.3,,,,,,,,0.3,0,,,,,,198,WORD,UN,33,invoke,WICKED,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,31,31,137,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.265,,,,,,,,0.265,0,,,,,,299,NW,UN,16,yarion,STURCH,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,32,32,478,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.395,,,,,,,,0.395,1,,,,,,191,WORD,UN,33,beacon,STABLE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,33,33,130,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.495,,,,,,,,0.495,1,,,,,,189,WORD,UN,33,backup,CENSOR,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,34,34,128,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.418,,,,,,,,0.418,1,,,,,,228,WORD,UN,33,kidney,MASTER,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,35,35,167,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.405,,,,,,,,0.405,1,,,,,,73,WORD,"ID",33,source,SOURCE,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,36,36,12,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.653,,,,,,,,0.653,1,,,,,,426,NW,UN,33,schind,URIVEL,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,37,37,365,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.884,,,,,,,,0.884,1,,,,,,436,NW,UN,33,snapel,FRUTAN,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,38,38,375,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.468,,,,,,,,0.468,1,,,,,,98,WORD,"ID",33,belong,BELONG,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,39,39,37,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.269,,,,,,,,0.269,0,,,,,,129,WORD,"ID",16,marvel,MARVEL,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,40,40,68,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.201,,,,,,,,0.201,0,,,,,,356,NW,"ID",33,othnis,OTHNIS,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,41,41,295,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.282,,,,,,,,0.282,1,,,,,,173,WORD,"ID",16,shower,SHOWER,m,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,42,42,112,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.55,,,,,,,,0.55,0,,,,,,360,NW,"ID",33,desory,DESORY,z,,,,,,,-0.025925926,-0.385185185,0,0,0,,0,43,43,299,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.55,-1,,,,,,365,NW,"ID",16,guairt,GUAIRT,z,,,,,,,-0.026851852,-0.386111111,0,0,0,,0,44,44,304,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.55,-1,,,,,,415,NW,"ID",16,higsta,HIGSTA,z,,,,,,,-0.027777778,-0.387962963,0,0,0,,0,45,45,354,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.55,-1,,,,,,213,WORD,UN,33,intake,SQUEAL,m,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,46,46,152,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.061,,,,,,,,0.061,1,,,,,,222,WORD,UN,33,export,HINDER,m,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,47,47,161,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.032,,,,,,,,0.032,0,,,,,,293,NW,UN,16,inhort,SWANCE,z,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,48,48,472,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.235,,,,,,,,0.235,0,,,,,,270,NW,UN,16,aubrid,WRIMSY,z,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,49,49,449,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.215,,,,,,,,0.215,1,,,,,,204,WORD,UN,33,lounge,BURDEN,m,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,50,50,143,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.268,,,,,,,,0.268,0,,,,,,385,NW,"ID",16,veigma,VEIGMA,z,,,,,,,-0.027777778,-0.389814815,0,0,0,,0,51,51,324,1
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h09.18.037,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.268,-1,,,,,,192,WORD,UN,33,object,PLAGUE,m,,,,,,,0.380597015,0.495522388,0,0,0,,0,52,52,131,1
