counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.05,1,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.05,-1,0,7,7,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.05,-1,0,8,8,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.05,-1,0,9,9,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.05,-1,0,10,10,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.05,-1,0,11,11,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.127,0,0,12,12,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,1.127,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.133,0,0,13,13,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.133,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.076,0,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.076,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.104,1,0,15,15,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.104,,,,,,,,,,,,,,,,,,
,,-0.099009901,-0.420792079,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.206,0,,,,,,239,WORD,UN,33,forest,LUMBER,m,0.206,,,,,,-0.092409241,-0.394389439,1,0,0,break_done_button,,0,0,0,178,1,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.05,0,,,,,,193,WORD,UN,33,mildew,OBJECT,m,0.05,,,,,,-0.108910891,-0.387788779,1,0,0,break_done_button,,0,1,1,132,1,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.093,0,,,,,,201,WORD,UN,33,factor,ADMIRE,m,0.093,,,,,,-0.00990099,-0.394389439,1,0,0,break_done_button,,0,2,2,140,1,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.093,-1,,,,,,299,NW,UN,16,yarion,STURCH,z,,,,,,,0.03960396,-0.400990099,1,0,0,break_done_button,,0,3,3,478,1,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.264026403,-0.318481848,1,0,0,0.047,button_left,0.047,1,,,,,,457,NW,UN,33,barcet,WANIGH,z,,,,,,,-0.264026403,-0.318481848,0,0,0,,space,0,4,4,396,1,1.152
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.033,0,,,,,,277,NW,UN,16,unighs,PETAIN,z,0.033,,,,,,-0.264026403,-0.318481848,0,0,0,,space,0,5,5,456,1,2.87
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.033,-1,,,,,,204,WORD,UN,33,lounge,BURDEN,m,,,,,,,-0.264026403,-0.318481848,0,0,0,,space,0,6,6,143,1,0.985
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h08.55.453,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.033,-1,,,,,,105,WORD,"ID",33,number,NUMBER,m,,,,,,,-0.062706271,-0.394389439,1,0,0,break_done_button,,0,7,7,44,1,
