counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.199,,,,,,,,0.199,0,0,6,6,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.14,,,,,,,,0.14,0,0,7,7,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.106,,,,,,,,0.106,1,0,8,8,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.339,,,,,,,,0.339,0,0,9,9,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.151,,,,,,,,0.151,1,0,10,10,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.343234323,-0.341584158,1,0,0,0.281,button_right,0.281,1,0,11,11,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,-0.339933993,-0.259075908,1,0,0,1.032,button_left,1.032,1,0,12,12,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.303630363,-0.331683168,1,0,0,0.831,button_right,0.831,1,0,13,13,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,-0.363036304,-0.308580858,1,0,0,0.982,button_left,0.982,0,0,14,14,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.372937294,-0.325082508,1,0,0,0.797,button_right,0.797,0,0,15,15,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,-0.04950495,-0.391089109,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.333333333,-0.361386139,1,0,0,0.297,button_right,0.297,1,,,,,,56,WORD,UN,16,change,AMBUSH,m,,,,,,0.00990099,-0.400990099,1,0,0,break_done_button,,0,0,0,235,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.323432343,-0.351485149,1,0,0,0.282,button_right,0.282,0,,,,,,440,NW,UN,33,rastoe,SARIDE,z,,,,,,0.059405941,-0.410891089,1,0,0,break_done_button,,0,1,1,379,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.419141914,-0.358085809,1,0,0,0.298,button_right,0.298,0,,,,,,347,NW,"ID",33,kerift,KERIFT,z,,,,,,0.04620462,-0.394389439,1,0,0,break_done_button,,0,2,2,286,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.372937294,-0.338283828,1,0,0,0.399,button_right,0.399,1,,,,,,160,WORD,"ID",16,violet,VIOLET,m,,,,,,0.02310231,-0.391089109,1,0,0,break_done_button,,0,3,3,99,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.349834983,-0.358085809,1,0,0,0.532,button_right,0.532,1,,,,,,112,WORD,"ID",33,breath,BREATH,m,,,,,,0.075907591,-0.424092409,1,0,0,break_done_button,,0,4,4,51,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h44.20.123,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,0.386138614,-0.334983498,1,0,0,0.381,button_right,0.381,1,,,,,,157,WORD,"ID",16,dragon,DRAGON,m,,,,,,0.059405941,-0.430693069,1,0,0,break_done_button,,0,5,5,96,1
