counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.027,0,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.027,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.123,0,0,7,7,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.123,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.027,1,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,0.027,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.006,0,0,9,9,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.006,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.2,1,0,10,10,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.015,0,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.015,-1,0,12,12,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.015,-1,0,13,13,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.099,1,0,14,14,14,1,1015,NW,UN,16,miaber,THRALE,z,0.099,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.085,1,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.085,,,,,,,,,,,,,,,,,,
,space,-0.775577558,-0.249174917,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0.554,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.257,0,,,,,,100,WORD,"ID",33,carbon,CARBON,m,0.257,,,,,,,0.00330033,-0.387788779,1,0,0,break_done_button,,0,0,0,39,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.339933993,-0.351485149,1,0,0,1.515,button_left,1.515,1,,,,,,435,NW,UN,33,frutan,IMPURB,z,,,,,,,,-0.108910891,-0.384488449,1,0,0,break_done_button,,0,1,1,374,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.290429043,-0.311881188,1,0,0,1.465,button_right,1.465,1,,,,,,9,WORD,UN,16,bridge,HUSTLE,m,,,,,,,,0.089108911,-0.377887789,1,0,0,break_done_button,,0,2,2,188,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.273927393,-0.328382838,1,0,0,0.381,button_right,0.381,1,,,,,,174,WORD,"ID",16,turkey,TURKEY,m,,,,,,,,0.105610561,-0.371287129,1,0,0,break_done_button,,0,3,3,113,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.316831683,-0.301980198,1,0,0,0.381,button_right,0.381,1,,,,,,56,WORD,UN,16,change,AMBUSH,m,,,,,,,,0.03960396,-0.374587459,1,0,0,break_done_button,,0,4,4,235,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.273927393,-0.292079208,1,0,0,0.348,button_right,0.348,0,,,,,,256,NW,UN,16,veniod,INLORS,z,,,,,,,,0.0330033,-0.397689769,1,0,0,break_done_button,,0,5,5,435,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.405,1,,,,,,476,NW,UN,33,photie,JOSTED,z,0.405,,,,,,,0.02970297,-0.391089109,1,0,0,break_done_button,,0,6,6,415,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.188,0,,,,,,202,WORD,UN,33,phrase,FACTOR,m,0.188,,,,,,,0.02970297,-0.384488449,1,0,0,break_done_button,,0,7,7,141,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h06.48.273,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.01650165,-0.367986799,1,0,0,0.247,,0.3,0,,,,,,206,WORD,UN,33,wreath,TAILOR,m,0.3,,,,,,,0,-0.374587459,1,0,0,break_done_button,,0,8,8,145,1
