counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.148,0,0,6,6,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.148
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.148,-1,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.381,1,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,z,1.381
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.291925466,-0.277432712,1,0,0,0.165,button_left,0.165,0,0,9,9,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.290890269,-0.300207039,1,0,0,0.431,button_right,0.431,1,0,10,10,2,1,1003,WORD,"ID",16,almond,ALMOND,m,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.431,-1,0,11,11,8,1,1009,NW,"ID",33,aslert,ASLERT,z,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.431,-1,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,m,
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.393,1,0,13,13,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.393
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.54,0,0,14,14,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.54
,,,,,,,,,,,,,,,,,,999,2020-11-24_22h08.34.113,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.133,0,0,15,15,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,1.133
