counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.047,button_left,0.047,1,0,6,6,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.181,button_left,0.181,0,0,7,7,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.014,button_left,0.014,0,0,8,8,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.733,button_left,0.733,0,0,9,9,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,1.298,button_left,1.298,1,0,10,10,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.247,button_left,0.247,1,0,11,11,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.313,button_left,0.313,1,0,12,12,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.147,button_left,0.147,1,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.131,button_left,0.131,0,0,14,14,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.28358209,-0.352878465,1,0,0,0.145,button_left,0.145,1,0,15,15,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,
,,-0.130063966,-0.397654584,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.326226013,-0.320895522,1,0,0,0.415,button_left,0.415,1,,,,,,241,NW,"ID",16,smenco,SMENCO,z,,,,,,-0.326226013,-0.320895522,1,0,0,,0,0,0,300,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.214,button_left,0.214,1,,,,,,258,NW,"ID",16,poluth,POLUTH,z,,,,,,-0.328358209,-0.320895522,1,0,0,,0,1,1,317,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.281,button_left,0.281,1,,,,,,272,NW,"ID",16,damilt,DAMILT,z,,,,,,-0.328358209,-0.320895522,1,0,0,,0,2,2,331,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.231,button_left,0.231,0,,,,,,134,WORD,UN,16,import,STAPLE,m,,,,,,-0.328358209,-0.320895522,1,0,0,,0,3,3,193,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.264,button_left,0.264,0,,,,,,25,WORD,"ID",16,domain,DOMAIN,m,,,,,,-0.328358209,-0.320895522,1,0,0,,0,4,4,84,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.282,button_left,0.282,0,,,,,,151,WORD,UN,16,rocket,MYSTIC,m,,,,,,-0.328358209,-0.320895522,1,0,0,,0,5,5,210,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.328358209,-0.320895522,1,0,0,0.563,button_left,0.563,0,,,,,,239,WORD,"ID",33,lumber,LUMBER,m,,,,,,-0.328358209,-0.320895522,1,0,0,,0,6,6,58,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,341,NW,UN,33,randow,MYRTIE,z,,,,,,-0.492537313,-0.491471215,0,0,0,,0,7,7,400,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,174,WORD,UN,16,fabric,TURKEY,m,,,,,,-0.492537313,-0.491471215,0,0,0,,0,8,8,233,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,277,NW,"ID",16,petain,PETAIN,z,,,,,,-0.492537313,-0.491471215,0,0,0,,0,9,9,336,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,98,WORD,UN,33,fluent,BELONG,m,,,,,,-0.492537313,-0.491471215,0,0,0,,0,10,10,157,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,82,WORD,UN,33,result,STIGMA,m,,,,,,-0.492537313,-0.491471215,0,0,0,,0,11,11,141,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,430,NW,"ID",33,caroey,CAROEY,z,,,,,,-0.492537313,-0.491471215,0,0,0,,0,12,12,249,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,18,WORD,"ID",16,humble,HUMBLE,m,,,,,,-0.492537313,-0.491471215,0,0,0,,0,13,13,77,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,287,NW,"ID",16,nymbel,NYMBEL,z,,,,,,-0.492537313,-0.491471215,0,0,0,,0,14,14,346,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,415,NW,UN,16,pathel,HIGSTA,z,,,,,,-0.492537313,-0.491471215,0,0,0,,0,15,15,474,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,232,WORD,"ID",33,inject,INJECT,m,,,,,,-0.492537313,-0.491471215,0,0,0,,0,16,16,51,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,300,NW,"ID",16,yarion,YARION,z,,,,,,2.71641791,-0.239872068,0,0,0,,0,17,17,359,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,446,NW,"ID",33,runamo,RUNAMO,z,,,,,,2.71641791,-0.239872068,0,0,0,,0,18,18,265,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,159,WORD,UN,16,violet,DETAIL,m,,,,,,2.71641791,-0.239872068,0,0,0,,0,19,19,218,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,364,NW,UN,16,guairt,IMPOTE,z,,,,,,2.71641791,-0.239872068,0,0,0,,0,20,20,423,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,294,NW,"ID",16,inhort,INHORT,z,,,,,,2.71641791,-0.239872068,0,0,0,,0,21,21,353,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h28.07.587,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.563,-1,,,,,,447,NW,"ID",33,gircue,GIRCUE,z,,,,,,2.71641791,-0.239872068,0,0,0,,0,22,22,266,1
