counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.281,button_right,0.281,0,0,6,6,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.164,button_right,0.164,1,0,7,7,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.313,button_right,0.313,1,0,8,8,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.045,button_right,0.045,0,0,9,9,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.047,button_right,0.047,1,0,10,10,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.031,button_right,0.031,1,0,11,11,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.015,button_right,0.015,1,0,12,12,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.198,button_right,0.198,0,0,13,13,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.015,button_right,0.015,1,0,14,14,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.310231023,-0.315181518,1,0,0,0.148,button_right,0.148,0,0,15,15,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,
,,0.082508251,-0.387788779,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.799,button_right,0.799,0,,,,,,377,NW,UN,33,shrile,INJORE,z,,,,,,0.300330033,-0.328382838,1,0,0,,0,0,0,376,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.314,button_right,0.314,1,,,,,,15,WORD,"ID",33,amount,AMOUNT,m,,,,,,0.300330033,-0.328382838,1,0,0,,0,1,1,14,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.199,button_right,0.199,1,,,,,,130,WORD,UN,33,quench,STUPID,m,,,,,,0.300330033,-0.328382838,1,0,0,,0,2,2,129,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.198,button_right,0.198,0,,,,,,247,NW,"ID",33,blarge,BLARGE,z,,,,,,0.300330033,-0.328382838,1,0,0,,0,3,3,246,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.181,button_right,0.181,1,,,,,,225,WORD,UN,16,kidney,VULGAR,m,,,,,,0.300330033,-0.328382838,1,0,0,,0,4,4,224,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.328382838,1,0,0,0.283,button_right,0.283,1,,,,,,165,WORD,UN,33,starch,INVEST,m,,,,,,0.300330033,-0.328382838,1,0,0,,0,5,5,164,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.297029703,-0.318481848,1,0,0,0.282,button_right,0.282,1,,,,,,142,WORD,UN,33,orphan,SPRUCE,m,,,,,,0.297029703,-0.318481848,1,0,0,,0,6,6,141,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.297029703,-0.318481848,1,0,0,0.115,button_right,0.115,0,,,,,,387,NW,UN,33,cragin,GRONCE,z,,,,,,0.297029703,-0.318481848,1,0,0,,0,7,7,386,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.293729373,-0.318481848,1,0,0,0.181,button_right,0.181,1,,,,,,64,WORD,"ID",16,throne,THRONE,m,,,,,,0.293729373,-0.318481848,1,0,0,,0,8,8,63,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.293729373,-0.318481848,1,0,0,0.015,button_right,0.015,1,,,,,,72,WORD,"ID",16,bright,BRIGHT,m,,,,,,0.293729373,-0.318481848,1,0,0,,0,9,9,71,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.293729373,-0.318481848,1,0,0,0.365,button_right,0.365,0,,,,,,266,NW,"ID",33,varmit,VARMIT,z,,,,,,0.293729373,-0.318481848,1,0,0,,0,10,10,265,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.293729373,-0.318481848,1,0,0,0.198,button_right,0.198,1,,,,,,27,WORD,"ID",33,scream,SCREAM,m,,,,,,0.293729373,-0.318481848,1,0,0,,0,11,11,26,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.429042904,-0.308580858,1,0,0,0.781,button_left,0.781,1,,,,,,376,NW,UN,33,sliant,IGUARE,z,,,,,,-0.429042904,-0.308580858,1,0,0,,0,12,12,375,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.287128713,-0.285478548,1,0,0,0.164,button_right,0.164,0,,,,,,460,NW,UN,16,justre,MINGAR,z,,,,,,0.287128713,-0.285478548,1,0,0,,0,13,13,459,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.673267327,-0.420792079,1,0,0,0.098,,0.164,-1,,,,,,55,WORD,"ID",33,stroke,STROKE,m,,,,,,0.194719472,-0.437293729,0,0,0,,0,14,14,54,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.164,-1,,,,,,272,NW,"ID",33,damilt,DAMILT,z,,,,,,0.194719472,-0.437293729,0,0,0,,0,15,15,271,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.164,-1,,,,,,467,NW,UN,16,wictor,GORBIE,z,,,,,,0.194719472,-0.437293729,0,0,0,,0,16,16,466,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.164,-1,,,,,,300,NW,"ID",33,yarion,YARION,z,,,,,,0.194719472,-0.437293729,0,0,0,,0,17,17,299,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.164,-1,,,,,,345,NW,"ID",16,absend,ABSEND,z,,,,,,0.194719472,-0.437293729,0,0,0,,0,18,18,344,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.280528053,-0.331683168,1,0,0,1.694,button_right,1.694,0,,,,,,470,NW,UN,16,nobest,CRUDIO,z,,,,,,0.280528053,-0.331683168,1,0,0,,0,19,19,469,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.694,-1,,,,,,339,NW,"ID",16,fachow,FACHOW,z,,,,,,-3.782178218,-0.48679868,0,0,0,,0,20,20,338,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.694,-1,,,,,,197,WORD,UN,16,wicked,STREAM,m,,,,,,-3.782178218,-0.48679868,0,0,0,,0,21,21,196,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.435643564,-0.295379538,1,0,0,1.765,button_left,1.765,1,,,,,,253,NW,"ID",33,resait,RESAIT,z,,,,,,-0.435643564,-0.295379538,1,0,0,,0,22,22,252,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.382838284,-0.328382838,1,0,0,0.815,button_right,0.815,0,,,,,,448,NW,UN,16,brunge,SADENT,z,,,,,,0.382838284,-0.328382838,1,0,0,,0,23,23,447,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.320132013,-0.321782178,1,0,0,0.448,button_left,0.448,0,,,,,,10,WORD,"ID",33,ethnic,ETHNIC,m,,,,,,-0.320132013,-0.321782178,1,0,0,,0,24,24,9,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.330033003,-0.321782178,1,0,0,0.781,button_left,0.781,1,,,,,,357,NW,"ID",16,derain,DERAIN,z,,,,,,-0.330033003,-0.321782178,1,0,0,,0,25,25,356,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.333333333,-0.315181518,1,0,0,0.132,button_left,0.132,0,,,,,,170,WORD,UN,33,depart,POUNCE,m,,,,,,-0.333333333,-0.315181518,1,0,0,,0,26,26,169,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.333333333,-0.315181518,1,0,0,0.064,button_left,0.064,0,,,,,,50,WORD,"ID",33,snatch,SNATCH,m,,,,,,-0.333333333,-0.315181518,1,0,0,,0,27,27,49,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.064,-1,,,,,,83,WORD,"ID",16,result,RESULT,m,,,,,,0.260726073,-0.275577558,0,0,0,,0,28,28,82,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.669966997,-0.348184818,1,0,0,0.214,button_left,0.214,0,,,,,,22,WORD,"ID",33,jockey,JOCKEY,m,,,,,,-0.313531353,-0.318481848,1,0,0,,0,29,29,21,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,296,NW,"ID",33,beinch,BEINCH,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,30,30,295,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,290,NW,"ID",33,splino,SPLINO,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,31,31,289,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,141,WORD,UN,33,spruce,ORPHAN,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,32,32,140,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,6,WORD,"ID",33,bundle,BUNDLE,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,33,33,5,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,428,NW,UN,16,chrums,TANDLY,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,34,34,427,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,149,WORD,UN,33,random,INVADE,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,35,35,148,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,394,NW,UN,33,colury,SPAQUX,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,36,36,393,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,97,WORD,"ID",16,client,CLIENT,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,37,37,96,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,187,WORD,UN,16,social,COURSE,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,38,38,186,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,138,WORD,UN,33,staple,MELODY,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,39,39,137,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,47,WORD,"ID",33,income,INCOME,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,40,40,46,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,461,NW,UN,16,absult,JUSTRE,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,41,41,460,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,16,WORD,"ID",33,faucet,FAUCET,m,,,,,,-0.815181518,-0.48349835,0,0,0,,0,42,42,15,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,369,NW,UN,33,sleact,WRONCH,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,43,43,368,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,351,NW,"ID",16,tiesch,TIESCH,z,,,,,,-0.815181518,-0.48349835,0,0,0,,0,44,44,350,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h33.53.800,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,438,NW,UN,16,limpor,BAITCH,z,,,,,,1.508250825,-0.123762376,0,0,0,,0,45,45,437,1
